No,일자,택배지점,터미널,집배점,비대면 배송완료 사진 전송 대상 건수,비대면 배송완료 사진 전송 건수,미전송 건수,전송률
200.0,20260518,동대문,구리사노2(성북),신성북(집),180.0,206.0,-26.0,114.4%
201.0,20260518,동대문,구리사노2(성북),안암(집),117.0,124.0,-7.0,106%
202.0,20260518,동대문,구리사노2(성북),월곡(집),743.0,831.0,-88.0,111.8%
203.0,20260518,동대문,구리사노2(성북),정릉(집),843.0,786.0,57.0,93.2%
204.0,20260518,동대문,구리사노2(성북),종암(집),125.0,185.0,-60.0,148%
205.0,20260518,동대문,구리사노2(중랑),망우(집),734.0,822.0,-88.0,112%
206.0,20260518,동대문,구리사노2(중랑),면목(집),1262.0,1349.0,-87.0,106.9%
207.0,20260518,동대문,구리사노2(중랑),묵동(집),317.0,331.0,-14.0,104.4%
208.0,20260518,동대문,구리사노2(중랑),상봉(집),322.0,355.0,-33.0,110.2%
209.0,20260518,동대문,동대문(종로),내수(집),133.0,144.0,-11.0,108.3%
210.0,20260518,동대문,동대문(종로),숭인(집),209.0,252.0,-43.0,120.6%
211.0,20260518,동대문,동대문(종로),인사(집),256.0,303.0,-47.0,118.4%
212.0,20260518,동대문,동대문(종로),종로3가(집),205.0,225.0,-20.0,109.8%
213.0,20260518,동대문,동대문(종로),종로평창(집),134.0,143.0,-9.0,106.7%
214.0,20260518,동대문,동대문(종로),창신(집),120.0,136.0,-16.0,113.3%
215.0,20260518,동대문,성수(동대문),용두(집),282.0,319.0,-37.0,113.1%
216.0,20260518,동대문,성수(동대문),이문(집),798.0,896.0,-98.0,112.3%
217.0,20260518,동대문,성수(동대문),장안(집),354.0,436.0,-82.0,123.2%
218.0,20260518,동대문,성수(동대문),전농(집),687.0,699.0,-12.0,101.7%
219.0,20260518,동대문,성수(동대문),제기(집),263.0,261.0,2.0,99.2%
220.0,20260518,마포,서대문,북가좌(집),910.0,982.0,-72.0,107.9%
221.0,20260518,마포,서대문,연희(집),263.0,285.0,-22.0,108.4%
222.0,20260518,마포,서대문,홍은(집),420.0,363.0,57.0,86.4%
